id,month,shipment
1001,2023-11,290000.0
1004,2023-11,34000.0
1004,2023-12,0.0
1006,2023-10,145195.0
1006,2023-11,140495.0
1006,2023-12,140495.0
101,2022-11,43800.0
101,2022-12,43800.0
101,2023-01,43800.0
1012,2023-11,98492.0
1012,2023-12,109442.52
1015,2023-11,163700.0
1015,2023-12,15000.0
107,2022-11,52158.0
107,2022-12,66122.0
107,2023-01,34850.0
107,2023-03,67774.08
107,2023-04,36046.0
107,2023-05,54832.0
107,2023-06,47165.28
107,2023-07,71542.0
107,2023-08,51910.74
107,2023-09,60269.0
107,2023-10,58485.96
107,2023-11,59885.85
107,2023-12,65222.34
107,2024-01,60505.74
107,2024-02,66694.89
109,2022-11,94000.0
109,2022-12,94000.0
109,2023-01,94000.0
109,2023-02,94000.0
109,2023-03,94000.0
109,2023-04,94000.0
109,2023-05,94000.0
109,2023-06,94000.0
109,2023-07,94000.0
109,2023-08,94000.0
109,2023-09,94000.0
109,2023-10,94000.0
109,2023-11,94000.0
109,2023-12,94000.0
112,2022-11,202450.0
112,2022-12,194050.0
112,2023-01,125000.0
112,2023-02,222000.0
112,2023-03,240800.0
112,2023-04,90090.0
112,2023-05,117090.0
112,2023-06,117090.0
112,2023-07,155090.0
112,2023-08,162650.0
112,2023-09,162650.0
112,2023-10,132410.0
112,2023-11,132410.0
112,2023-12,132410.0
112,2024-02,136730.0
15,2022-11,439280.0
15,2022-12,439280.0
15,2023-01,102433.75
15,2023-02,102433.75
15,2023-03,102433.75
15,2023-04,138158.0
15,2023-05,138158.0
15,2023-06,102433.75
154,2022-11,57545.0
154,2022-12,57545.0
154,2023-01,57545.0
154,2023-02,57545.0
154,2023-03,67545.0
154,2023-04,57545.0
154,2023-05,57545.0
154,2023-06,79545.0
154,2023-07,57545.0
154,2023-08,70545.0
154,2023-09,57545.0
154,2023-10,80100.0
154,2023-11,75100.0
154,2023-12,90300.0
154,2024-01,75200.0
154,2024-02,82700.0
174,2022-11,127200.0
174,2022-12,127200.0
174,2023-01,127200.0
174,2023-02,127200.0
180,2022-11,99500.0
180,2022-12,97550.0
180,2023-01,70950.0
180,2023-02,182880.0
180,2023-03,162835.0
180,2023-04,191320.0
180,2023-05,198705.0
180,2023-06,195540.0
180,2023-07,170220.0
180,2023-08,192375.0
180,2023-10,163359.0
180,2023-11,163359.0
180,2023-12,163359.0
180,2024-01,163359.0
190,2022-11,149080.0
190,2022-12,149100.0
190,2023-01,177595.0
190,2023-02,171260.0
190,2023-03,150220.0
190,2023-04,148220.0
190,2023-05,152695.0
190,2023-06,152695.0
190,2023-07,152695.0
190,2023-08,152970.0
190,2023-09,148815.0
190,2023-10,146475.0
190,2023-11,143580.0
190,2023-12,137745.0
190,2024-01,104025.0
190,2024-02,123810.0
193,2022-11,164000.0
193,2022-12,190280.0
196,2022-11,53400.0
196,2022-12,48400.0
196,2023-02,49350.0
196,2023-03,54625.0
196,2023-04,55470.0
196,2023-05,53780.0
196,2023-06,43230.0
196,2023-07,43230.0
196,2023-08,43230.0
196,2023-09,44075.0
196,2023-10,55470.0
196,2023-11,26540.0
196,2023-12,26540.0
199,2022-11,25050.0
199,2022-12,68120.0
199,2023-01,51470.0
199,2023-02,46470.0
199,2023-03,53620.0
199,2023-04,53730.0
199,2023-05,8935.0
199,2023-06,8935.0
199,2023-07,8935.0
199,2023-08,8935.0
199,2023-09,50490.0
199,2023-10,47895.0
211,2023-02,171046.75
211,2023-05,54111.0
211,2023-06,75000.0
211,2023-07,180000.0
211,2023-08,135000.0
211,2023-09,238500.0
211,2023-10,186750.0
211,2023-11,186750.0
211,2023-12,186750.0
211,2024-01,186750.0
211,2024-02,186750.0
228,2022-11,28200.0
228,2022-12,28200.0
228,2023-01,33885.0
228,2023-02,33885.0
228,2023-03,33885.0
228,2023-04,33885.0
228,2023-05,33885.0
228,2023-06,33885.0
228,2023-07,33885.0
228,2023-08,33885.0
228,2023-09,33885.0
228,2023-10,33885.0
228,2023-11,33885.0
228,2023-12,33885.0
228,2024-01,43400.0
228,2024-02,43400.0
230,2022-11,58070.0
230,2022-12,62225.0
242,2022-11,96400.0
242,2022-12,88850.0
242,2023-01,83880.0
242,2023-02,90965.0
242,2023-03,86975.0
242,2023-04,84160.0
242,2023-05,75900.0
242,2023-06,95105.0
244,2022-11,324600.0
244,2022-12,324600.0
244,2023-01,324600.0
244,2023-02,324600.0
244,2023-03,324600.0
244,2023-04,324600.0
244,2023-05,328020.0
244,2023-06,328020.0
244,2023-07,328020.0
244,2023-08,328020.0
244,2023-09,328020.0
244,2023-10,328020.0
266,2022-11,45950.0
266,2022-12,45950.0
266,2023-02,46995.0
266,2023-03,46995.0
266,2023-04,46995.0
266,2023-05,46995.0
266,2023-06,46995.0
266,2023-07,46995.0
266,2023-08,46995.0
266,2023-09,46995.0
266,2023-10,46995.0
266,2023-11,46995.0
266,2023-12,46995.0
266,2024-01,46995.0
268,2022-11,79235.0
268,2022-12,79235.0
268,2023-01,83810.0
268,2023-02,122845.0
268,2023-03,128145.0
268,2023-04,135530.0
268,2023-05,133420.0
268,2023-06,140005.0
268,2023-07,150160.0
268,2023-08,137500.0
268,2023-09,141435.0
268,2023-10,125645.0
268,2023-11,128810.0
