month,AM,num2,den2,coef2
2023-01,Отдел,293520.00,543220.00,0.540334
2023-02,Отдел,1499300.00,5947165.52,0.252103
2023-03,Отдел,744192.64,2597297.00,0.286526
2023-04,Отдел,588840.00,2189733.50,0.268909
2023-06,Отдел,598130.00,3051384.00,0.196019
2023-07,Отдел,645411.24,1567319.02,0.411793
2023-08,Отдел,1003150.00,1487390.00,0.674436
2023-10,Отдел,1584366.00,6611202.40,0.239649
2023-11,Отдел,128400.00,489856.52,0.262118
2023-12,Отдел,544180.00,4189665.00,0.129886
